clk_s_T(s),gbf_T(s),q_str_d,Alarm_Detector,q_str_atm,Alarm_ATM
2.000000e-07,5.000000e-09,19,'0',199,'0'
2.000000e-07,1.000000e-08,9,'1',99,'1'
2.000000e-07,1.500000e-08,5,'1',66,'1'
2.000000e-07,1.900000e-08,4,'1',49,'1'
2.000000e-07,2.400000e-08,3,'1',39,'1'
2.000000e-07,3.000000e-08,2,'1',32,'1'
2.000000e-07,3.500000e-08,2,'1',27,'1'
2.000000e-07,4.000000e-08,2,'1',24,'1'
2.000000e-07,4.500000e-08,1,'1',21,'1'
2.000000e-07,4.900000e-08,1,'1',19,'1'
2.000000e-07,5.400000e-08,1,'1',17,'1'
2.000000e-07,6.000000e-08,1,'1',15,'1'
2.000000e-07,6.500000e-08,1,'1',14,'1'
2.000000e-07,7.000000e-08,1,'1',13,'1'
2.000000e-07,7.500000e-08,0,'1',12,'1'
2.000000e-07,7.900000e-08,0,'1',11,'1'
2.000000e-07,8.400000e-08,1,'1',10,'1'
2.000000e-07,9.000000e-08,0,'1',10,'1'
2.000000e-07,9.500000e-08,0,'1',9,'1'
2.000000e-07,1.000000e-07,0,'1',7,'1'
2.000000e-07,1.050000e-07,0,'1',7,'1'
2.000000e-07,1.090000e-07,0,'1',6,'1'
2.000000e-07,1.140000e-07,1,'1',6,'1'
2.000000e-07,1.200000e-07,0,'1',6,'1'
2.000000e-07,1.250000e-07,0,'1',5,'1'
2.000000e-07,1.300000e-07,0,'1',6,'1'
2.000000e-07,1.350000e-07,0,'1',5,'1'
2.000000e-07,1.400000e-07,1,'1',5,'1'
2.000000e-07,1.450000e-07,0,'1',4,'1'
2.000000e-07,1.500000e-07,1,'1',4,'1'
2.000000e-07,1.550000e-07,2,'1',3,'1'
2.000000e-07,1.600000e-07,2,'1',3,'1'
2.000000e-07,1.640000e-07,2,'1',4,'1'
2.000000e-07,1.690000e-07,3,'1',3,'1'
2.000000e-07,1.750000e-07,3,'1',3,'1'
2.000000e-07,1.800000e-07,4,'1',3,'1'
2.000000e-07,1.850000e-07,5,'1',3,'1'
2.000000e-07,1.900000e-07,9,'1',2,'1'
2.000000e-07,1.950000e-07,19,'1',2,'1'
2.000000e-07,2.000000e-07,12,'1',2,'1'
2.000000e-07,2.050000e-07,19,'1',2,'1'
2.000000e-07,2.100000e-07,9,'1',2,'1'
2.000000e-07,2.150000e-07,6,'1',2,'1'
2.000000e-07,2.200000e-07,4,'1',2,'1'
2.000000e-07,2.250000e-07,3,'1',7,'1'
2.000000e-07,2.300000e-07,3,'1',2,'1'
2.000000e-07,2.350000e-07,1,'1',1,'1'
2.000000e-07,2.400000e-07,2,'1',1,'1'
2.000000e-07,2.450000e-07,1,'1',1,'1'
2.000000e-07,2.500000e-07,1,'1',1,'1'
2.000000e-07,2.550000e-07,1,'1',5,'1'
2.000000e-07,2.600000e-07,1,'1',1,'1'
2.000000e-07,2.650000e-07,1,'1',5,'1'
2.000000e-07,2.700000e-07,0,'1',5,'1'
2.000000e-07,2.750000e-07,0,'1',0,'1'
2.000000e-07,2.800000e-07,0,'1',0,'1'
2.000000e-07,2.850000e-07,1,'1',0,'1'
2.000000e-07,2.900000e-07,0,'1',9,'1'
2.000000e-07,2.950000e-07,0,'1',0,'1'
2.000000e-07,3.000000e-07,0,'1',0,'1'
2.000000e-07,3.050000e-07,0,'1',0,'1'
2.000000e-07,3.100000e-07,0,'1',0,'1'
2.000000e-07,3.150000e-07,0,'1',0,'1'
2.000000e-07,3.200000e-07,0,'1',0,'1'
2.000000e-07,3.250000e-07,0,'1',0,'1'
2.000000e-07,3.300000e-07,1,'1',3,'1'
2.000000e-07,3.350000e-07,1,'1',3,'1'
2.000000e-07,3.390000e-07,1,'1',3,'1'
2.000000e-07,3.450000e-07,1,'1',2,'1'
2.000000e-07,3.500000e-07,1,'1',5,'1'
2.000000e-07,3.550000e-07,2,'1',3,'1'
2.000000e-07,3.600000e-07,1,'1',5,'1'
2.000000e-07,3.650000e-07,2,'1',8,'1'
2.000000e-07,3.700000e-07,2,'1',8,'1'
2.000000e-07,3.750000e-07,3,'1',8,'1'
2.000000e-07,3.800000e-07,4,'1',1,'1'
2.000000e-07,3.850000e-07,6,'1',1,'1'
2.000000e-07,3.900000e-07,6,'1',1,'1'
2.000000e-07,3.950000e-07,19,'0',1,'1'
2.000000e-07,4.000000e-07,19,'0',1,'1'
2.000000e-07,4.050000e-07,19,'0',1,'1'
2.000000e-07,4.100000e-07,9,'1',1,'1'
2.000000e-07,4.150000e-07,6,'1',1,'1'
2.000000e-07,4.200000e-07,4,'1',12,'1'
2.000000e-07,4.250000e-07,3,'1',7,'1'
2.000000e-07,4.300000e-07,2,'1',6,'1'
2.000000e-07,4.350000e-07,1,'1',6,'1'
2.000000e-07,4.400000e-07,1,'1',6,'1'
2.000000e-07,4.450000e-07,1,'1',4,'1'
2.000000e-07,4.500000e-07,1,'1',4,'1'
2.000000e-07,4.540000e-07,1,'1',1,'1'
2.000000e-07,4.590000e-07,1,'1',1,'1'
2.000000e-07,4.640000e-07,0,'1',4,'1'
2.000000e-07,4.700000e-07,0,'1',1,'1'
2.000000e-07,4.750000e-07,0,'1',1,'1'
2.000000e-07,4.800000e-07,0,'1',1,'1'
2.000000e-07,4.850000e-07,1,'1',1,'1'
2.000000e-07,4.900000e-07,0,'1',1,'1'
2.000000e-07,4.950000e-07,0,'1',1,'1'
4.000000e-07,5.000000e-09,39,'1',399,'1'
4.000000e-07,1.000000e-08,19,'1',199,'1'
4.000000e-07,1.500000e-08,12,'1',133,'1'
4.000000e-07,1.900000e-08,9,'1',99,'1'
4.000000e-07,2.400000e-08,7,'1',79,'1'
4.000000e-07,3.000000e-08,6,'1',65,'1'
4.000000e-07,3.500000e-08,5,'1',56,'1'
4.000000e-07,4.000000e-08,4,'1',49,'1'
4.000000e-07,4.500000e-08,3,'1',44,'1'
4.000000e-07,4.900000e-08,3,'1',39,'1'
4.000000e-07,5.400000e-08,2,'1',35,'1'
4.000000e-07,6.000000e-08,2,'1',32,'1'
4.000000e-07,6.500000e-08,2,'1',30,'1'
4.000000e-07,7.000000e-08,2,'1',28,'1'
4.000000e-07,7.500000e-08,2,'1',25,'1'
4.000000e-07,7.900000e-08,2,'1',24,'1'
4.000000e-07,8.400000e-08,1,'1',23,'1'
4.000000e-07,9.000000e-08,1,'1',21,'1'
4.000000e-07,9.500000e-08,1,'1',21,'1'
4.000000e-07,1.000000e-07,1,'1',19,'1'
4.000000e-07,1.050000e-07,1,'1',18,'1'
4.000000e-07,1.090000e-07,1,'1',17,'1'
4.000000e-07,1.140000e-07,1,'1',16,'1'
4.000000e-07,1.200000e-07,0,'1',15,'1'
4.000000e-07,1.250000e-07,0,'1',15,'1'
4.000000e-07,1.300000e-07,1,'1',15,'1'
4.000000e-07,1.350000e-07,0,'1',14,'1'
4.000000e-07,1.400000e-07,1,'1',14,'1'
4.000000e-07,1.450000e-07,0,'1',13,'1'
4.000000e-07,1.500000e-07,0,'1',12,'1'
4.000000e-07,1.550000e-07,1,'1',12,'1'
