clk_s_T(s),gbf_T(s),q_str_d,Alarm_Detector,q_str_atm,Alarm_ATM
4.000000e-07,1.600000e-07,1,'1',11,'1'
4.000000e-07,1.640000e-07,0,'1',11,'1'
4.000000e-07,1.690000e-07,1,'1',10,'1'
4.000000e-07,1.750000e-07,0,'1',10,'1'
4.000000e-07,1.800000e-07,1,'1',9,'1'
4.000000e-07,1.850000e-07,0,'1',9,'1'
4.000000e-07,1.900000e-07,0,'1',9,'1'
4.000000e-07,1.950000e-07,0,'1',9,'1'
4.000000e-07,2.000000e-07,0,'0',8,'1'
4.000000e-07,2.050000e-07,0,'1',7,'1'
4.000000e-07,2.100000e-07,0,'1',7,'1'
4.000000e-07,2.150000e-07,0,'1',7,'1'
4.000000e-07,2.200000e-07,0,'1',7,'1'
4.000000e-07,2.250000e-07,0,'1',7,'1'
4.000000e-07,2.300000e-07,0,'1',7,'1'
4.000000e-07,2.350000e-07,0,'1',7,'1'
4.000000e-07,2.400000e-07,0,'1',6,'1'
4.000000e-07,2.450000e-07,0,'1',5,'1'
4.000000e-07,2.500000e-07,0,'1',6,'1'
4.000000e-07,2.550000e-07,1,'1',5,'1'
4.000000e-07,2.600000e-07,0,'1',6,'1'
4.000000e-07,2.650000e-07,1,'1',5,'1'
4.000000e-07,2.700000e-07,0,'1',5,'1'
4.000000e-07,2.750000e-07,1,'1',5,'1'
4.000000e-07,2.800000e-07,0,'1',5,'1'
4.000000e-07,2.850000e-07,1,'1',4,'1'
4.000000e-07,2.900000e-07,0,'1',5,'1'
4.000000e-07,2.950000e-07,1,'1',4,'1'
4.000000e-07,3.000000e-07,1,'1',4,'1'
4.000000e-07,3.050000e-07,1,'1',4,'1'
4.000000e-07,3.100000e-07,1,'1',4,'1'
4.000000e-07,3.150000e-07,1,'1',4,'1'
4.000000e-07,3.200000e-07,2,'1',4,'1'
4.000000e-07,3.250000e-07,2,'1',4,'1'
4.000000e-07,3.300000e-07,2,'1',3,'1'
4.000000e-07,3.350000e-07,2,'1',3,'1'
4.000000e-07,3.390000e-07,3,'1',3,'1'
4.000000e-07,3.450000e-07,2,'1',3,'1'
4.000000e-07,3.500000e-07,3,'1',3,'1'
4.000000e-07,3.550000e-07,4,'1',2,'1'
4.000000e-07,3.600000e-07,4,'1',3,'1'
4.000000e-07,3.650000e-07,5,'1',2,'1'
4.000000e-07,3.700000e-07,6,'1',2,'1'
4.000000e-07,3.750000e-07,7,'1',3,'1'
4.000000e-07,3.800000e-07,9,'1',2,'1'
4.000000e-07,3.850000e-07,13,'1',2,'1'
4.000000e-07,3.900000e-07,19,'1',2,'1'
4.000000e-07,3.950000e-07,39,'1',2,'1'
4.000000e-07,4.000000e-07,0,'0',2,'1'
4.000000e-07,4.050000e-07,39,'1',2,'1'
4.000000e-07,4.100000e-07,19,'0',2,'1'
4.000000e-07,4.150000e-07,13,'1',2,'1'
4.000000e-07,4.200000e-07,9,'1',2,'1'
4.000000e-07,4.250000e-07,7,'1',2,'1'
4.000000e-07,4.300000e-07,5,'1',2,'1'
4.000000e-07,4.350000e-07,5,'1',2,'1'
4.000000e-07,4.400000e-07,4,'1',1,'1'
4.000000e-07,4.450000e-07,3,'1',1,'1'
4.000000e-07,4.500000e-07,3,'1',1,'1'
4.000000e-07,4.540000e-07,3,'1',7,'1'
4.000000e-07,4.590000e-07,3,'1',7,'1'
4.000000e-07,4.640000e-07,2,'1',1,'1'
4.000000e-07,4.700000e-07,1,'1',1,'1'
4.000000e-07,4.750000e-07,2,'1',17,'1'
4.000000e-07,4.800000e-07,2,'1',13,'1'
4.000000e-07,4.850000e-07,2,'1',1,'1'
4.000000e-07,4.900000e-07,1,'1',1,'1'
4.000000e-07,4.950000e-07,1,'1',1,'1'
6.000000e-07,5.000000e-09,59,'1',599,'1'
6.000000e-07,1.000000e-08,29,'1',299,'1'
6.000000e-07,1.500000e-08,19,'1',199,'1'
6.000000e-07,1.900000e-08,14,'0',149,'1'
6.000000e-07,2.400000e-08,11,'1',119,'1'
6.000000e-07,3.000000e-08,9,'1',99,'1'
6.000000e-07,3.500000e-08,7,'1',85,'1'
6.000000e-07,4.000000e-08,7,'1',74,'1'
6.000000e-07,4.500000e-08,6,'1',66,'1'
6.000000e-07,4.900000e-08,5,'1',59,'1'
6.000000e-07,5.400000e-08,5,'1',54,'1'
6.000000e-07,6.000000e-08,4,'1',49,'1'
6.000000e-07,6.500000e-08,4,'1',45,'1'
6.000000e-07,7.000000e-08,3,'1',42,'1'
6.000000e-07,7.500000e-08,3,'1',39,'1'
6.000000e-07,7.900000e-08,3,'1',36,'1'
6.000000e-07,8.400000e-08,3,'1',34,'1'
6.000000e-07,9.000000e-08,2,'1',32,'1'
6.000000e-07,9.500000e-08,2,'1',31,'1'
6.000000e-07,1.000000e-07,2,'1',29,'1'
6.000000e-07,1.050000e-07,2,'1',28,'1'
6.000000e-07,1.090000e-07,2,'1',26,'1'
6.000000e-07,1.140000e-07,2,'1',25,'1'
6.000000e-07,1.200000e-07,1,'1',24,'1'
6.000000e-07,1.250000e-07,1,'1',23,'1'
6.000000e-07,1.300000e-07,1,'1',22,'1'
6.000000e-07,1.350000e-07,1,'1',21,'1'
6.000000e-07,1.400000e-07,1,'1',21,'1'
6.000000e-07,1.450000e-07,2,'1',20,'1'
6.000000e-07,1.500000e-07,1,'1',19,'1'
6.000000e-07,1.550000e-07,1,'1',18,'1'
6.000000e-07,1.600000e-07,1,'1',18,'1'
6.000000e-07,1.640000e-07,1,'1',18,'1'
6.000000e-07,1.690000e-07,1,'1',17,'1'
6.000000e-07,1.750000e-07,1,'1',16,'1'
6.000000e-07,1.800000e-07,0,'1',15,'1'
6.000000e-07,1.850000e-07,0,'1',15,'1'
6.000000e-07,1.900000e-07,1,'1',15,'1'
6.000000e-07,1.950000e-07,0,'1',15,'1'
6.000000e-07,2.000000e-07,0,'1',14,'1'
6.000000e-07,2.050000e-07,0,'1',14,'1'
6.000000e-07,2.100000e-07,1,'1',13,'1'
6.000000e-07,2.150000e-07,0,'1',13,'1'
6.000000e-07,2.200000e-07,0,'1',13,'1'
6.000000e-07,2.250000e-07,0,'1',12,'1'
6.000000e-07,2.300000e-07,0,'1',12,'1'
6.000000e-07,2.350000e-07,0,'1',12,'1'
6.000000e-07,2.400000e-07,0,'1',11,'1'
6.000000e-07,2.450000e-07,0,'1',11,'1'
6.000000e-07,2.500000e-07,1,'1',11,'1'
6.000000e-07,2.550000e-07,0,'1',10,'1'
6.000000e-07,2.600000e-07,0,'1',9,'1'
6.000000e-07,2.650000e-07,0,'1',10,'1'
6.000000e-07,2.700000e-07,0,'1',9,'1'
6.000000e-07,2.750000e-07,1,'1',9,'1'
6.000000e-07,2.800000e-07,0,'1',8,'1'
6.000000e-07,2.850000e-07,0,'1',9,'1'
6.000000e-07,2.900000e-07,0,'1',8,'1'
6.000000e-07,2.950000e-07,0,'1',8,'1'
6.000000e-07,3.000000e-07,0,'1',8,'1'
6.000000e-07,3.050000e-07,0,'1',8,'1'
6.000000e-07,3.100000e-07,0,'1',7,'1'
6.000000e-07,3.150000e-07,1,'1',8,'1'
6.000000e-07,3.200000e-07,0,'1',8,'1'
6.000000e-07,3.250000e-07,0,'1',7,'1'
6.000000e-07,3.300000e-07,0,'1',7,'1'
6.000000e-07,3.350000e-07,0,'1',7,'1'
6.000000e-07,3.390000e-07,0,'1',7,'1'
6.000000e-07,3.450000e-07,0,'1',7,'1'
6.000000e-07,3.500000e-07,0,'1',6,'1'
6.000000e-07,3.550000e-07,1,'1',6,'1'
6.000000e-07,3.600000e-07,0,'1',6,'1'
6.000000e-07,3.650000e-07,0,'1',5,'1'
6.000000e-07,3.700000e-07,1,'1',6,'1'
6.000000e-07,3.750000e-07,1,'1',6,'1'
6.000000e-07,3.800000e-07,1,'1',5,'1'
6.000000e-07,3.850000e-07,1,'1',5,'1'
6.000000e-07,3.900000e-07,1,'1',5,'1'
6.000000e-07,3.950000e-07,1,'1',5,'1'
6.000000e-07,4.000000e-07,0,'1',5,'1'
6.000000e-07,4.050000e-07,0,'1',5,'1'
6.000000e-07,4.100000e-07,0,'1',5,'1'
6.000000e-07,4.150000e-07,1,'1',4,'1'
6.000000e-07,4.200000e-07,1,'1',4,'1'
6.000000e-07,4.250000e-07,1,'1',5,'1'
6.000000e-07,4.300000e-07,0,'1',4,'1'
6.000000e-07,4.350000e-07,1,'1',4,'1'
6.000000e-07,4.400000e-07,1,'1',4,'1'
6.000000e-07,4.450000e-07,1,'1',4,'1'
6.000000e-07,4.500000e-07,1,'1',4,'1'
6.000000e-07,4.540000e-07,1,'1',4,'1'
6.000000e-07,4.590000e-07,2,'1',4,'1'
6.000000e-07,4.640000e-07,1,'1',4,'1'
6.000000e-07,4.700000e-07,2,'1',3,'1'
6.000000e-07,4.750000e-07,1,'1',3,'1'
6.000000e-07,4.800000e-07,1,'1',3,'1'
6.000000e-07,4.850000e-07,2,'1',3,'1'
6.000000e-07,4.900000e-07,2,'1',3,'1'
6.000000e-07,4.950000e-07,2,'1',3,'1'
7.990000e-07,5.000000e-09,79,'1',799,'1'
7.990000e-07,1.000000e-08,39,'1',399,'1'
7.990000e-07,1.500000e-08,26,'1',266,'1'
7.990000e-07,1.900000e-08,19,'0',199,'1'
7.990000e-07,2.400000e-08,15,'0',159,'1'
7.990000e-07,3.000000e-08,12,'1',133,'1'
7.990000e-07,3.500000e-08,10,'1',113,'1'
7.990000e-07,4.000000e-08,9,'1',99,'1'
7.990000e-07,4.500000e-08,8,'1',88,'1'
7.990000e-07,4.900000e-08,7,'1',79,'1'
7.990000e-07,5.400000e-08,6,'1',71,'1'
7.990000e-07,6.000000e-08,5,'1',65,'1'
7.990000e-07,6.500000e-08,5,'1',60,'1'
7.990000e-07,7.000000e-08,5,'1',56,'1'
7.990000e-07,7.500000e-08,4,'1',52,'1'
7.990000e-07,7.900000e-08,4,'1',49,'1'
7.990000e-07,8.400000e-08,4,'1',46,'1'
7.990000e-07,9.000000e-08,3,'1',44,'1'
7.990000e-07,9.500000e-08,3,'1',41,'1'
7.990000e-07,1.000000e-07,3,'1',39,'1'
7.990000e-07,1.050000e-07,3,'1',37,'1'
7.990000e-07,1.090000e-07,2,'1',35,'1'
7.990000e-07,1.140000e-07,2,'1',34,'1'
7.990000e-07,1.200000e-07,2,'1',32,'1'
7.990000e-07,1.250000e-07,2,'1',31,'1'
7.990000e-07,1.300000e-07,3,'1',29,'1'
7.990000e-07,1.350000e-07,2,'1',28,'1'
7.990000e-07,1.400000e-07,2,'1',28,'1'
7.990000e-07,1.450000e-07,1,'1',26,'1'
7.990000e-07,1.500000e-07,2,'1',26,'1'
7.990000e-07,1.550000e-07,1,'1',24,'1'
7.990000e-07,1.600000e-07,1,'1',24,'1'
7.990000e-07,1.640000e-07,2,'1',24,'1'
7.990000e-07,1.690000e-07,1,'1',22,'1'
7.990000e-07,1.750000e-07,1,'1',21,'1'
7.990000e-07,1.800000e-07,1,'1',21,'1'
7.990000e-07,1.850000e-07,1,'1',21,'1'
7.990000e-07,1.900000e-07,1,'1',20,'1'
7.990000e-07,1.950000e-07,1,'1',19,'1'
7.990000e-07,2.000000e-07,1,'1',19,'1'
7.990000e-07,2.050000e-07,1,'1',19,'1'
7.990000e-07,2.100000e-07,1,'1',18,'1'
7.990000e-07,2.150000e-07,1,'1',17,'1'
7.990000e-07,2.200000e-07,1,'1',17,'1'
7.990000e-07,2.250000e-07,1,'1',17,'1'
7.990000e-07,2.300000e-07,1,'1',17,'1'
7.990000e-07,2.350000e-07,0,'1',16,'1'
7.990000e-07,2.400000e-07,1,'1',16,'1'
7.990000e-07,2.450000e-07,0,'1',15,'1'
7.990000e-07,2.500000e-07,1,'1',15,'1'
7.990000e-07,2.550000e-07,1,'1',15,'1'
7.990000e-07,2.600000e-07,0,'1',15,'1'
7.990000e-07,2.650000e-07,0,'1',15,'1'
7.990000e-07,2.700000e-07,0,'1',14,'1'
7.990000e-07,2.750000e-07,1,'1',13,'1'
7.990000e-07,2.800000e-07,0,'1',13,'1'
7.990000e-07,2.850000e-07,0,'1',13,'1'
7.990000e-07,2.900000e-07,0,'1',12,'1'
7.990000e-07,2.950000e-07,0,'1',12,'1'
7.990000e-07,3.000000e-07,0,'1',12,'1'
7.990000e-07,3.050000e-07,0,'1',12,'1'
7.990000e-07,3.100000e-07,0,'1',11,'1'
7.990000e-07,3.150000e-07,0,'1',11,'1'
7.990000e-07,3.200000e-07,0,'1',11,'1'
7.990000e-07,3.250000e-07,0,'1',11,'1'
7.990000e-07,3.300000e-07,0,'1',11,'1'
7.990000e-07,3.350000e-07,0,'1',10,'1'
7.990000e-07,3.390000e-07,1,'1',10,'1'
7.990000e-07,3.450000e-07,0,'1',10,'1'
7.990000e-07,3.500000e-07,0,'1',10,'1'
7.990000e-07,3.550000e-07,0,'1',10,'1'
7.990000e-07,3.600000e-07,0,'1',9,'1'
7.990000e-07,3.650000e-07,0,'1',10,'1'
7.990000e-07,3.700000e-07,0,'1',9,'1'
7.990000e-07,3.750000e-07,0,'1',9,'1'
7.990000e-07,3.800000e-07,0,'1',8,'1'
7.990000e-07,3.850000e-07,0,'1',9,'1'
7.990000e-07,3.900000e-07,0,'1',9,'1'
7.990000e-07,3.950000e-07,0,'1',8,'1'
7.990000e-07,4.000000e-07,0,'1',8,'1'
7.990000e-07,4.050000e-07,0,'1',8,'1'
7.990000e-07,4.100000e-07,0,'1',8,'1'
7.990000e-07,4.150000e-07,0,'1',8,'1'
7.990000e-07,4.200000e-07,1,'1',7,'1'
7.990000e-07,4.250000e-07,0,'1',7,'1'
7.990000e-07,4.300000e-07,1,'1',7,'1'
7.990000e-07,4.350000e-07,1,'1',7,'1'
7.990000e-07,4.400000e-07,0,'1',7,'1'
7.990000e-07,4.450000e-07,0,'1',7,'1'
7.990000e-07,4.500000e-07,0,'1',7,'1'
7.990000e-07,4.540000e-07,0,'1',6,'1'
7.990000e-07,4.590000e-07,0,'1',6,'1'
7.990000e-07,4.640000e-07,0,'1',7,'1'
7.990000e-07,4.700000e-07,0,'1',7,'1'
7.990000e-07,4.750000e-07,0,'1',6,'1'
7.990000e-07,4.800000e-07,0,'1',6,'1'
7.990000e-07,4.850000e-07,0,'1',6,'1'
7.990000e-07,4.900000e-07,0,'1',6,'1'
7.990000e-07,4.950000e-07,0,'1',6,'1'
9.990000e-07,5.000000e-09,99,'1',999,'1'
9.990000e-07,1.000000e-08,49,'1',499,'1'
9.990000e-07,1.500000e-08,32,'1',332,'1'
9.990000e-07,1.900000e-08,24,'1',249,'1'
9.990000e-07,2.400000e-08,19,'0',199,'1'
9.990000e-07,3.000000e-08,15,'0',166,'1'
9.990000e-07,3.500000e-08,13,'1',142,'1'
9.990000e-07,4.000000e-08,11,'1',124,'1'
9.990000e-07,4.500000e-08,10,'1',110,'1'
9.990000e-07,4.900000e-08,9,'1',99,'1'
9.990000e-07,5.400000e-08,8,'1',90,'1'
9.990000e-07,6.000000e-08,8,'1',82,'1'
9.990000e-07,6.500000e-08,6,'1',76,'1'
9.990000e-07,7.000000e-08,6,'1',70,'1'
9.990000e-07,7.500000e-08,6,'1',66,'1'
9.990000e-07,7.900000e-08,6,'1',61,'1'
9.990000e-07,8.400000e-08,5,'1',57,'1'
9.990000e-07,9.000000e-08,4,'1',55,'1'
9.990000e-07,9.500000e-08,5,'1',51,'1'
9.990000e-07,1.000000e-07,4,'1',49,'1'
9.990000e-07,1.050000e-07,4,'1',46,'1'
9.990000e-07,1.090000e-07,3,'1',45,'1'
9.990000e-07,1.140000e-07,3,'1',43,'1'
9.990000e-07,1.200000e-07,3,'1',41,'1'
9.990000e-07,1.250000e-07,3,'1',39,'1'
9.990000e-07,1.300000e-07,3,'1',38,'1'
9.990000e-07,1.350000e-07,2,'1',36,'1'
9.990000e-07,1.400000e-07,3,'1',34,'1'
9.990000e-07,1.450000e-07,2,'1',34,'1'
9.990000e-07,1.500000e-07,2,'1',32,'1'
9.990000e-07,1.550000e-07,3,'1',31,'1'
9.990000e-07,1.600000e-07,3,'1',30,'1'
9.990000e-07,1.640000e-07,2,'1',29,'1'
9.990000e-07,1.690000e-07,2,'1',29,'1'
9.990000e-07,1.750000e-07,2,'1',27,'1'
9.990000e-07,1.800000e-07,1,'1',27,'1'
9.990000e-07,1.850000e-07,2,'1',26,'1'
9.990000e-07,1.900000e-07,2,'1',25,'1'
9.990000e-07,1.950000e-07,1,'1',25,'1'
9.990000e-07,2.000000e-07,2,'1',24,'1'
9.990000e-07,2.050000e-07,2,'1',23,'1'
9.990000e-07,2.100000e-07,1,'1',23,'1'
9.990000e-07,2.150000e-07,1,'1',22,'1'
9.990000e-07,2.200000e-07,1,'1',22,'1'
9.990000e-07,2.250000e-07,1,'1',21,'1'
9.990000e-07,2.300000e-07,1,'1',21,'1'
9.990000e-07,2.350000e-07,1,'1',20,'1'
9.990000e-07,2.400000e-07,1,'1',20,'1'
9.990000e-07,2.450000e-07,1,'1',19,'1'
9.990000e-07,2.500000e-07,1,'1',19,'1'
9.990000e-07,2.550000e-07,1,'1',18,'1'
9.990000e-07,2.600000e-07,1,'1',18,'1'
9.990000e-07,2.650000e-07,1,'1',18,'1'
9.990000e-07,2.700000e-07,1,'1',17,'1'
9.990000e-07,2.750000e-07,1,'1',16,'1'
9.990000e-07,2.800000e-07,1,'1',17,'1'
9.990000e-07,2.850000e-07,1,'1',16,'1'
9.990000e-07,2.900000e-07,1,'1',16,'1'
9.990000e-07,2.950000e-07,1,'1',16,'1'
9.990000e-07,3.000000e-07,0,'1',15,'1'
9.990000e-07,3.050000e-07,0,'1',14,'1'
9.990000e-07,3.100000e-07,1,'1',15,'1'
9.990000e-07,3.150000e-07,1,'1',15,'1'
9.990000e-07,3.200000e-07,1,'1',14,'1'
9.990000e-07,3.250000e-07,1,'1',13,'1'
9.990000e-07,3.300000e-07,1,'1',13,'1'
9.990000e-07,3.350000e-07,1,'1',13,'1'
9.990000e-07,3.390000e-07,0,'1',13,'1'
9.990000e-07,3.450000e-07,0,'1',13,'1'
9.990000e-07,3.500000e-07,1,'1',12,'1'
9.990000e-07,3.550000e-07,0,'1',12,'1'
9.990000e-07,3.600000e-07,1,'1',12,'1'
9.990000e-07,3.650000e-07,0,'1',12,'1'
9.990000e-07,3.700000e-07,0,'1',12,'1'
9.990000e-07,3.750000e-07,0,'1',11,'1'
9.990000e-07,3.800000e-07,0,'1',11,'1'
9.990000e-07,3.850000e-07,0,'1',11,'1'
9.990000e-07,3.900000e-07,0,'1',11,'1'
9.990000e-07,3.950000e-07,0,'1',11,'1'
9.990000e-07,4.000000e-07,0,'1',10,'1'
9.990000e-07,4.050000e-07,0,'1',10,'1'
9.990000e-07,4.100000e-07,0,'1',10,'1'
9.990000e-07,4.150000e-07,0,'1',9,'1'
9.990000e-07,4.200000e-07,0,'1',10,'1'
9.990000e-07,4.250000e-07,0,'1',9,'1'
9.990000e-07,4.300000e-07,0,'1',9,'1'
9.990000e-07,4.350000e-07,0,'1',9,'1'
9.990000e-07,4.400000e-07,0,'1',9,'1'
9.990000e-07,4.450000e-07,1,'1',9,'1'
9.990000e-07,4.500000e-07,0,'1',8,'1'
9.990000e-07,4.540000e-07,0,'1',9,'1'
9.990000e-07,4.590000e-07,0,'1',9,'1'
9.990000e-07,4.640000e-07,0,'1',8,'1'
9.990000e-07,4.700000e-07,0,'1',8,'1'
9.990000e-07,4.750000e-07,0,'1',8,'1'
9.990000e-07,4.800000e-07,0,'1',8,'1'
9.990000e-07,4.850000e-07,0,'1',8,'1'
9.990000e-07,4.900000e-07,0,'1',7,'1'
9.990000e-07,4.950000e-07,0,'1',7,'1'
1.200000e-06,5.000000e-09,119,'1',1199,'1'
1.200000e-06,1.000000e-08,59,'1',599,'1'
1.200000e-06,1.500000e-08,39,'1',399,'1'
1.200000e-06,1.900000e-08,29,'1',299,'1'
1.200000e-06,2.400000e-08,23,'1',239,'1'
1.200000e-06,3.000000e-08,19,'0',199,'0'
1.200000e-06,3.500000e-08,16,'0',170,'1'
1.200000e-06,4.000000e-08,14,'0',149,'1'
1.200000e-06,4.500000e-08,12,'1',132,'1'
1.200000e-06,4.900000e-08,11,'1',119,'1'
1.200000e-06,5.400000e-08,10,'1',108,'1'
1.200000e-06,6.000000e-08,9,'1',99,'1'
1.200000e-06,6.500000e-08,9,'1',92,'1'
1.200000e-06,7.000000e-08,8,'1',85,'1'
1.200000e-06,7.500000e-08,7,'1',79,'1'
1.200000e-06,7.900000e-08,7,'1',74,'1'
1.200000e-06,8.400000e-08,6,'1',70,'1'
1.200000e-06,9.000000e-08,6,'1',66,'1'
1.200000e-06,9.500000e-08,6,'1',62,'1'
